time,c,d,r
160,-0.044366228,-0.063110279,-0.065994136
161,0.075549669,-0.065684852,0.106517296
162,-0.019114507,-0.010592869,-0.031541869
163,-0.05206705,-0.1594473,-0.134204575
164,0.024703174,0.062007751,0.211907706
165,0.00267016,0.019798144,0.058956949
166,0.042479261,0.104405861,0.208418484
167,0.020214261,-0.02174993,0.01032492
168,0.063746066,0.263737257,0.383901449
169,-0.008583586,0.051799369,0.031805781
170,0.025671874,-0.127168026,-0.045432047
171,0.025070348,-0.046575916,0.020647695
172,-0.013294002,-0.10049606,-0.076121735
173,0.02147901,0.009724633,0.112409979
174,-0.00330439,-0.080844049,-0.046969824
175,0.080891904,0.011203081,0.155917261
176,0.038679075,0.058008082,0.082334105
177,0.025287157,0.1526698,0.207973154
178,-0.062594754,-0.06923131,-0.100836588
179,0.003762996,-0.255095313,-0.141744993
180,0.012941388,-0.166083238,-0.087811892
181,-0.05608162,0.06874515,0.086769034
182,0.044548807,0.123590481,0.282635106
183,0.051196364,-0.033705184,0.021715071
184,0.015021099,-0.054553304,-0.027581322
185,-0.011763889,-0.119961246,-0.08549365
186,0.045274046,0.123072975,0.254508787
187,0.004236854,0.104416717,0.126884333
188,0.002660763,0.04382835,0.100855787
189,0.004796225,0.082215838,0.149578758
190,0.017462173,0.006019977,0.074676923
191,-0.009796889,-0.103524849,-0.072870857
192,0.060151672,0.080140825,0.218846542
193,-0.005271709,0.008832123,0.005473539
194,0.014603331,-0.06321065,0.01301047
195,-0.005132117,-0.044901612,0.001518322
196,0.06975504,0.074782189,0.213042166
197,-0.054716951,-0.037185708,-0.096024148
198,0.040787184,-0.070733323,0.078147579
199,0.025700382,0.062354349,0.119187553
200,0.060122505,0.148312473,0.246191606
201,-0.022657542,0.254715232,0.247699673
202,0.005362615,-0.004070805,0.066659543
203,0.009267879,0.272811415,0.357933499
204,-0.033303137,-0.155992087,-0.161129548
205,0.009655938,0.013145885,0.128452517
206,0.034934049,0.026850645,0.112801117
207,0.062338008,0.082892454,0.172148923
208,0.030494409,-0.006418012,0.018625665
209,0.031302796,-0.008651632,0.053424955
210,0.010397602,-0.023903135,0.018007387
211,0.036594974,0.00055162,0.088162518
212,-0.013712127,0.22707006,0.25893632
213,0.062911052,0.226116974,0.357074119
214,-0.041140448,-0.202161077,-0.26456666
215,0.050210851,-0.138347592,0.013388439
216,0.01666189,-0.036432702,0.001679739
217,0.034691602,-0.071990138,0.004014202
218,0.021887489,0.022774385,0.079387965
219,0.036563884,-0.023285555,0.048485508
220,-0.021972212,0.035354599,0.048704714
